step,loss,real_crps,synth_ed,steps/s
13400,-0.209459,0.046228,0.004021,4.157985
13450,-0.207999,0.046184,0.004060,4.157966
13500,-0.210587,0.045554,0.004053,4.158021
13500,0.037988,-1.246055
13550,-0.205700,0.046907,0.004109,4.157907
13600,-0.207801,0.046352,0.004140,4.157932
13650,-0.206585,0.046523,0.004075,4.158170
13700,-0.214049,0.044758,0.004035,4.158148
13750,-0.213542,0.044217,0.004086,4.158177
13800,-0.208742,0.046310,0.004007,4.158159
13850,-0.212818,0.044748,0.004081,4.158219
13900,-0.208856,0.045546,0.004041,4.158352
13950,-0.209768,0.046058,0.004040,4.158332
14000,-0.210500,0.045646,0.004020,4.158457
14000,0.037992,-1.246055
14050,-0.211839,0.045016,0.004080,4.157938
14100,-0.211236,0.045342,0.004015,4.157914
14150,-0.208665,0.046336,0.004009,4.157683
14200,-0.208513,0.046119,0.004057,4.157831
14250,-0.207979,0.046124,0.004122,4.157852
14300,-0.203923,0.047142,0.004031,4.157794
14350,-0.210326,0.045405,0.004102,4.157577
14400,-0.207525,0.046262,0.004074,4.157635
14450,-0.203744,0.047242,0.004033,4.157706
14500,-0.211598,0.045243,0.004010,4.157821
14500,0.037984,-1.246055
14550,-0.214358,0.044116,0.004156,4.157733
14600,-0.209329,0.046047,0.004077,4.157673
14650,-0.211852,0.044981,0.004059,4.157683
14700,-0.209558,0.046152,0.004092,4.157730
14750,-0.213352,0.044568,0.004047,4.157836
14800,-0.210791,0.045652,0.004012,4.157967
14850,-0.209459,0.045919,0.004085,4.157967
14900,-0.209443,0.045766,0.004018,4.158136
14950,-0.205542,0.046770,0.004060,4.158188
15000,-0.209686,0.045795,0.004009,4.158329
15000,0.037992,-1.246055
15050,-0.205940,0.046358,0.004142,4.158235
15100,-0.211511,0.045262,0.004117,4.158240
15150,-0.211131,0.045677,0.004071,4.158314
15200,-0.208421,0.046125,0.004094,4.158343
15250,-0.208633,0.046148,0.004069,4.158389
15300,-0.206796,0.047004,0.004058,4.158412
15350,-0.213208,0.044967,0.003998,4.158447
15400,-0.213461,0.044557,0.004047,4.158572
15450,-0.210357,0.045557,0.004041,4.158658
15500,-0.207165,0.046477,0.004026,4.158646
15500,0.037976,-1.246055
15550,-0.206827,0.046658,0.004105,4.158576
15600,-0.211516,0.045882,0.004185,4.158642
15650,-0.207313,0.046282,0.004207,4.158707
15700,-0.205344,0.046629,0.004133,4.158647
15750,-0.209943,0.045650,0.004004,4.158769
15800,-0.207525,0.046030,0.004052,4.158837
15850,-0.211730,0.045258,0.004048,4.158802
15900,-0.210992,0.045486,0.004064,4.158701
15950,-0.209160,0.045695,0.004089,4.158575
16000,-0.213722,0.044254,0.004070,4.158546
16000,0.037985,-1.246055
16050,-0.208481,0.045468,0.004044,4.158117
16100,-0.203995,0.047238,0.004030,4.158206
16150,-0.204385,0.047337,0.004074,4.158261
16200,-0.207802,0.045841,0.004012,4.158299
16250,-0.209874,0.045663,0.004118,4.158347
16300,-0.206769,0.046442,0.004162,4.158426
16350,-0.207754,0.046308,0.004049,4.158416
16400,-0.211266,0.045512,0.004192,4.158463
16450,-0.208362,0.046234,0.004182,4.158538
16500,-0.213314,0.044653,0.004058,4.158575
16500,0.037976,-1.246055
16550,-0.208125,0.046114,0.004100,4.158577
16600,-0.204281,0.047455,0.004132,4.158670
16650,-0.207856,0.046182,0.004064,4.158829
16700,-0.207093,0.046447,0.004023,4.158869
16750,-0.205722,0.046648,0.004005,4.158995
16800,-0.210766,0.045142,0.004117,4.159059
16850,-0.210497,0.044975,0.004124,4.158939
16900,-0.210138,0.045991,0.004050,4.159046
16950,-0.211009,0.045488,0.004027,4.159101
17000,-0.203422,0.047370,0.004170,4.159182
17000,0.037982,-1.246055
17050,-0.206541,0.046326,0.004061,4.159054
17100,-0.210273,0.045426,0.004053,4.159053
17150,-0.207690,0.045942,0.004179,4.159123
17200,-0.212527,0.044894,0.004017,4.158928
17250,-0.210368,0.045378,0.004055,4.158211
17300,-0.209178,0.046178,0.004139,4.157737
17350,-0.213078,0.045416,0.004043,4.157859
17400,-0.210598,0.045153,0.004040,4.157927
17450,-0.211026,0.045467,0.004061,4.158012
17500,-0.207942,0.046360,0.004111,4.158098
17500,0.037986,-1.246055
17550,-0.209958,0.046098,0.004046,4.158071
17600,-0.209233,0.045636,0.004117,4.158143
17650,-0.212093,0.044862,0.004027,4.158203
17700,-0.209429,0.045474,0.004139,4.158267
17750,-0.209079,0.046108,0.004082,4.158338
17800,-0.208498,0.046247,0.004068,4.158383
17850,-0.210769,0.045405,0.004151,4.158470
17900,-0.211351,0.045922,0.004066,4.158520
17950,-0.211041,0.045391,0.004110,4.158563
18000,-0.212149,0.044910,0.004098,4.158591
18000,0.037984,-1.246055
18050,-0.209220,0.046085,0.004008,4.158221
