step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu
8700,2,0.000298,0.800815,-0.071755,1.745140,0.006848,-0.837219,1.620432,0.124708,0.304375,0.066790,0.078270,3.498815,10.794599,5.658230,319.534556,24.808565
8800,2,0.000297,0.768543,-0.073138,1.683362,0.006238,-0.844761,1.587641,0.095721,0.320781,0.071636,0.076235,3.500257,8.785880,5.659541,319.166038,24.910469
8900,2,0.000297,0.761666,-0.073093,1.669518,0.006049,-0.842676,1.581960,0.087558,0.321445,0.068960,0.076447,3.515807,161.309264,5.661529,318.759569,24.819570
9000,2,0.000297,0.743983,-0.075146,1.638259,0.005523,-0.857534,1.570278,0.067981,0.330781,0.068826,0.075549,3.504578,8.752838,5.660420,318.527578,25.080957
9100,2,0.000297,0.756880,-0.074287,1.662335,0.005792,-0.851915,1.585799,0.076535,0.323828,0.069290,0.075136,3.512841,6.116933,5.660940,318.203930,25.378019
9200,2,0.000297,0.766197,-0.074362,1.681118,0.005880,-0.853328,1.600430,0.080688,0.318984,0.066255,0.076290,3.533744,7.180278,5.660430,317.938134,25.463764
9300,2,0.000297,0.751792,-0.075410,1.654403,0.005667,-0.861560,1.577137,0.077266,0.328359,0.067715,0.074166,3.521897,7.736744,5.659202,317.712641,25.634469
9400,2,0.000297,0.741129,-0.076189,1.634637,0.005548,-0.867636,1.565930,0.068707,0.333906,0.066846,0.075394,3.517756,4.868160,5.660218,317.361131,25.665884
9500,2,0.000297,0.757440,-0.074060,1.662999,0.005881,-0.850272,1.585014,0.077985,0.321445,0.066982,0.076091,3.520348,6.571208,5.661233,317.009838,25.775739
9600,2,0.000297,0.756315,-0.073950,1.660530,0.006066,-0.850946,1.577324,0.083206,0.321680,0.066411,0.076628,3.530506,5.396636,5.660659,316.747554,25.927653
9700,2,0.000297,0.769922,-0.072070,1.683983,0.006386,-0.835960,1.580135,0.103848,0.321680,0.069758,0.075056,3.498434,6.259891,5.660686,316.451644,26.235953
9800,2,0.000297,0.775467,-0.070707,1.692348,0.006511,-0.824321,1.582218,0.110129,0.323945,0.071021,0.078702,3.518662,12.697304,5.661517,316.110819,26.277820
9900,2,0.000297,0.767463,-0.072876,1.680677,0.006366,-0.843389,1.578669,0.102008,0.322109,0.072012,0.074537,3.514917,32.520635,5.659779,315.913388,26.625070
10000,2,0.000296,0.755070,-0.073426,1.656993,0.005894,-0.844256,1.573834,0.083159,0.324219,0.068677,0.075963,3.525421,25.386843,5.661059,315.547575,26.576957
10000,0.003461,0.005053,0.005774,-0.080558,0.004821,-0.902883,0.059990,0.342773,0.059357,3.488814,0.067338,0.075380,26.617208
10100,2,0.000296,0.747732,-0.073775,1.643013,0.005894,-0.847823,1.562803,0.080210,0.329258,0.070400,0.074954,3.523216,7.740870,5.657239,315.466018,26.940010
