step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min
7100,1,0.000299,2.294219,-0.678164,1.482835,0.064336,-0.742328,1.458203,0.024632,0.341484,0.007578,0.103566,1.000000,52.981615,3.039917,603.525308
7200,1,0.000298,2.246875,-0.670469,1.489185,0.064209,-0.734633,1.457540,0.031645,0.340391,0.006341,0.104441,1.000000,53.508405,3.040000,602.960482
7300,1,0.000298,2.321563,-0.679297,1.478936,0.064175,-0.743303,1.456299,0.022637,0.333789,0.007930,0.102609,1.000000,149.531745,3.040100,602.392461
7400,1,0.000298,2.505469,-0.672539,1.471254,0.064536,-0.737149,1.448877,0.022376,0.347578,0.006782,0.102802,1.000000,265.877314,3.040051,601.853855
7500,1,0.000298,2.613750,-0.690312,1.466103,0.064233,-0.754008,1.446894,0.019209,0.348672,0.006524,0.102811,1.000000,17.897649,3.040155,601.285080
7600,1,0.000298,2.260625,-0.668359,1.484872,0.064385,-0.732818,1.454968,0.029904,0.344414,0.007613,0.103153,1.000000,19.275514,3.040109,600.745992
7700,1,0.000298,2.254375,-0.670859,1.478950,0.064429,-0.735309,1.453548,0.025402,0.345469,0.005994,0.103232,1.000000,44.657831,3.039992,600.220886
7800,1,0.000298,2.167031,-0.683281,1.475957,0.064233,-0.747131,1.451178,0.024779,0.342500,0.008099,0.101413,1.000000,30.176047,3.040181,599.635268
7900,2,0.000298,2.173594,-0.676953,1.482716,0.064492,-0.741623,1.457792,0.024924,0.341953,0.006018,0.103138,1.000000,92.889140,3.039439,599.233397
8000,2,0.000298,2.162031,-0.677031,1.480505,0.064409,-0.741465,1.456872,0.023633,0.343359,0.006333,0.102124,1.000000,67.673705,3.039691,598.635320
8000,0.003301,0.004673,0.005525,-0.752949,0.004543,-0.757492,0.067384,0.333984,0.028572,1.000000,0.005461,0.103809,6.222099
8100,2,0.000298,2.456016,-0.682031,1.474769,0.064399,-0.746138,1.450421,0.024348,0.341641,0.006836,0.102086,1.000000,12.701611,3.039589,598.107253
8200,2,0.000298,2.144531,-0.682227,1.503635,0.064380,-0.746302,1.462767,0.040868,0.335508,0.006272,0.103375,1.000000,42.093343,3.038777,597.718482
8300,2,0.000298,2.135937,-0.685000,1.478682,0.064192,-0.749103,1.453100,0.025582,0.342656,0.006846,0.102700,1.000000,58.532420,3.037919,597.338753
8400,2,0.000298,2.078672,-0.681289,1.471758,0.064370,-0.745731,1.445059,0.026699,0.348867,0.005931,0.105361,1.000000,39.084808,3.037931,596.787722
8500,2,0.000298,2.072188,-0.694219,1.468569,0.064292,-0.758220,1.446642,0.021927,0.348906,0.007297,0.102286,1.000000,37.864570,3.037938,596.237684
8600,2,0.000298,2.125391,-0.687285,1.472009,0.064487,-0.751522,1.449330,0.022679,0.345625,0.007433,0.102043,1.000000,40.755799,3.038043,595.668596
8700,2,0.000298,2.098125,-0.679492,1.473298,0.064277,-0.743527,1.449765,0.023533,0.343164,0.006403,0.104476,1.000000,36.669294,3.038045,595.119508
8800,2,0.000297,2.084766,-0.684023,1.473993,0.064370,-0.748432,1.450237,0.023756,0.345625,0.007703,0.102462,1.000000,32.353556,3.037977,594.584191
8900,2,0.000297,2.036719,-0.691719,1.476848,0.064507,-0.755856,1.453054,0.023794,0.342109,0.007199,0.100746,1.000000,77.225753,3.037983,594.034398
9000,2,0.000297,2.023750,-0.681289,1.474167,0.064341,-0.745470,1.451605,0.022562,0.339102,0.007840,0.104108,1.000000,70.653625,3.038246,593.434452
9100,2,0.000297,2.274922,-0.679609,1.476160,0.064482,-0.744037,1.450900,0.025260,0.344922,0.008370,0.102894,1.000000,45.073501,3.038516,592.833336
9200,2,0.000297,2.252500,-0.672676,1.472952,0.064419,-0.736949,1.451807,0.021144,0.341836,0.009064,0.102900,1.000000,13.611468,3.038734,592.242260
9300,2,0.000297,1.943203,-0.694844,1.462620,0.064155,-0.758630,1.444022,0.018597,0.347500,0.007378,0.103358,1.000000,38.274002,3.038977,591.646526
9400,2,0.000297,1.942969,-0.695625,1.463893,0.064326,-0.759788,1.443283,0.020610,0.348906,0.008178,0.099803,1.000000,38.496392,3.039122,591.069743
