step,loss,real_crps,synth_ed,steps/s,real_frac
8350,-0.709280,0.044907,0.003474,4.158304,0.296875
8400,-0.697510,0.045664,0.003557,4.159442,0.300781
8450,-0.693170,0.046658,0.003497,4.160767,0.300781
8500,-0.698955,0.046593,0.003553,4.161976,0.300781
8500,0.037717,-1.275562
8550,-0.706359,0.045651,0.003542,4.162917,0.300781
8600,-0.688529,0.047201,0.003519,4.164130,0.300781
8650,-0.701223,0.046176,0.003562,4.165345,0.300781
8700,-0.708729,0.045449,0.003509,4.166469,0.300781
8750,-0.710095,0.045852,0.003536,4.167673,0.304688
8800,-0.705242,0.046698,0.003561,4.168876,0.304688
8850,-0.703890,0.046541,0.003595,4.170098,0.304688
8900,-0.712172,0.046188,0.003556,4.171379,0.304688
8950,-0.732078,0.044837,0.003583,4.172611,0.304688
9000,-0.702876,0.046877,0.003548,4.173889,0.304688
9000,0.037717,-1.275562
9050,-0.713413,0.046204,0.003605,4.174882,0.308594
9100,-0.726989,0.045693,0.003592,4.176067,0.308594
9150,-0.700190,0.047519,0.003562,4.177373,0.308594
9200,-0.720831,0.045754,0.003537,4.178600,0.308594
9250,-0.727510,0.045474,0.003555,4.179896,0.308594
9300,-0.713284,0.046441,0.003612,4.180980,0.308594
9350,-0.700751,0.047838,0.003493,4.182341,0.308594
9400,-0.733119,0.045344,0.003578,4.183628,0.312500
9450,-0.719086,0.046545,0.003637,4.184893,0.312500
9500,-0.709907,0.046887,0.003527,4.186242,0.312500
9500,0.037717,-1.275562
9550,-0.726650,0.045558,0.003551,4.187361,0.312500
9600,-0.712231,0.047208,0.003547,4.188545,0.312500
9650,-0.736831,0.045805,0.003550,4.189804,0.312500
9700,-0.725478,0.045957,0.003577,4.191090,0.312500
9750,-0.722985,0.046870,0.003584,4.192358,0.316406
9800,-0.741787,0.045850,0.003532,4.193674,0.316406
9850,-0.715488,0.047391,0.003561,4.194935,0.316406
9900,-0.719089,0.047338,0.003523,4.196204,0.316406
9950,-0.739647,0.045904,0.003548,4.197617,0.316406
10000,-0.737219,0.046016,0.003605,4.198782,0.316406
10000,0.037717,-1.275562
10050,-0.736823,0.046235,0.003505,4.199303,0.320312
10100,-0.729517,0.046882,0.003557,4.200558,0.320312
10150,-0.762254,0.045021,0.003509,4.201891,0.320312
10200,-0.737026,0.046845,0.003570,4.203054,0.320312
10250,-0.725905,0.047108,0.003528,4.204282,0.320312
10300,-0.726470,0.047026,0.003548,4.205471,0.320312
10350,-0.748331,0.045678,0.003543,4.206772,0.320312
10400,-0.735996,0.046843,0.003532,4.208035,0.324219
10450,-0.755172,0.045860,0.003519,4.209259,0.324219
10500,-0.747600,0.046483,0.003587,4.210547,0.324219
10500,0.037717,-1.275562
10550,-0.732544,0.047659,0.003554,4.211692,0.324219
10600,-0.740370,0.046938,0.003560,4.212961,0.324219
10650,-0.752840,0.046203,0.003571,4.213945,0.324219
10700,-0.733894,0.047571,0.003607,4.215275,0.328125
10750,-0.765743,0.045750,0.003594,4.216554,0.328125
10800,-0.750216,0.046210,0.003555,4.217937,0.328125
10850,-0.758782,0.046181,0.003580,4.219257,0.328125
10900,-0.748779,0.046686,0.003584,4.220464,0.328125
10950,-0.757325,0.045969,0.003476,4.221794,0.328125
11000,-0.734279,0.048116,0.003581,4.223101,0.328125
11000,0.037717,-1.275562
11050,-0.769089,0.046140,0.003528,4.224310,0.332031
11100,-0.780762,0.044976,0.003572,4.225568,0.332031
11150,-0.772965,0.046108,0.003549,4.226882,0.332031
11200,-0.785422,0.045234,0.003514,4.228180,0.332031
11250,-0.759139,0.046893,0.003494,4.229541,0.332031
11300,-0.755790,0.047069,0.003537,4.230802,0.332031
11350,-0.768187,0.046573,0.003592,4.232112,0.335938
11400,-0.754935,0.047098,0.004093,4.233449,0.335938
11450,-0.780755,0.046090,0.003433,4.234783,0.335938
11500,-0.784541,0.045486,0.003534,4.236103,0.335938
11500,0.037717,-1.275562
11550,-0.763032,0.046810,0.003500,4.237231,0.335938
11600,-0.768522,0.046533,0.003549,4.238462,0.335938
11650,-0.763987,0.046568,0.003552,4.239641,0.335938
11700,-0.782603,0.046026,0.003585,4.240953,0.339844
11750,-0.763986,0.047345,0.003547,4.242254,0.339844
11800,-0.774531,0.046926,0.003550,4.243578,0.339844
11850,-0.782703,0.046472,0.003453,4.244945,0.339844
11900,-0.782904,0.046477,0.003504,4.246197,0.339844
11950,-0.784065,0.045991,0.003505,4.247477,0.339844
12000,-0.804584,0.044779,0.003564,4.248514,0.343750
12000,0.037717,-1.275562
12050,-0.783875,0.046746,0.003563,4.249366,0.343750
12100,-0.764478,0.047874,0.003547,4.250736,0.343750
12150,-0.799939,0.045278,0.004658,4.252053,0.343750
12200,-0.799266,0.045691,0.003540,4.253335,0.343750
12250,-0.786999,0.046221,0.003555,4.254615,0.343750
12300,-0.790200,0.046043,0.003580,4.255857,0.343750
12350,-0.791743,0.046809,0.003509,4.257232,0.347656
12400,-0.801903,0.045728,0.003514,4.258556,0.347656
12450,-0.782700,0.046959,0.003541,4.259870,0.347656
12500,-0.780236,0.046998,0.003524,4.261118,0.347656
12500,0.037717,-1.275562
12550,-0.808786,0.045557,0.003489,4.262303,0.347656
12600,-0.798363,0.045997,0.003570,4.263575,0.347656
12650,-0.794734,0.046692,0.003507,4.264848,0.351562
12700,-0.803609,0.046279,0.003545,4.266236,0.351562
12750,-0.816226,0.045597,0.003517,4.267593,0.351562
12800,-0.798147,0.046591,0.003571,4.268905,0.351562
12850,-0.801695,0.046789,0.003538,4.270201,0.351562
12900,-0.805247,0.046213,0.003567,4.271513,0.351562
12950,-0.810636,0.045553,0.003522,4.272824,0.351562
13000,-0.794871,0.047499,0.003517,4.274153,0.355469
13000,0.037717,-1.275562
13050,-0.801511,0.046525,0.003562,4.275249,0.355469
13100,-0.813986,0.046192,0.003596,4.276605,0.355469
13150,-0.806421,0.046872,0.003532,4.277898,0.355469
13200,-0.830805,0.045225,0.003620,4.279204,0.355469
13250,-0.828150,0.045341,0.003602,4.280545,0.355469
13300,-0.795174,0.047693,0.003512,4.281886,0.359375
13350,-0.823873,0.046232,0.003527,4.283222,0.359375
13400,-0.800679,0.047465,0.003577,4.284409,0.359375
13450,-0.813665,0.046799,0.003538,4.285812,0.359375
13500,-0.826537,0.046018,0.003541,4.287142,0.359375
13500,0.037717,-1.275562
13550,-0.817841,0.046710,0.003584,4.288306,0.359375
13600,-0.812647,0.046530,0.003604,4.289624,0.359375
13650,-0.833677,0.045858,0.003488,4.290997,0.363281
13700,-0.834389,0.046312,0.003585,4.292361,0.363281
13750,-0.823103,0.046596,0.003586,4.293723,0.363281
13800,-0.827847,0.046266,0.003571,4.295122,0.363281
13850,-0.817181,0.047148,0.003549,4.296384,0.363281
13900,-0.830326,0.046179,0.003588,4.297678,0.363281
13950,-0.835469,0.046189,0.003520,4.298978,0.367188
