step,loss,real_crps,synth_ed,steps/s
15350,-0.199956,0.046444,0.004497,4.511318
15400,-0.201836,0.045388,0.004416,4.511601
15450,-0.200618,0.045834,0.004464,4.511894
15500,-0.201551,0.046143,0.004515,4.512138
15500,0.037563,-1.299469
15550,-0.196274,0.047139,0.004570,4.512207
15600,-0.197692,0.046885,0.004536,4.512506
15650,-0.199490,0.046168,0.004469,4.512708
15700,-0.196476,0.047128,0.004421,4.512904
15750,-0.197609,0.046617,0.004465,4.513203
15800,-0.202542,0.045123,0.004455,4.513444
15850,-0.197665,0.046953,0.004444,4.513771
15900,-0.202839,0.045128,0.004519,4.514008
15950,-0.201019,0.045822,0.004452,4.514217
16000,-0.199484,0.046624,0.004452,4.514397
16000,0.037585,-1.299469
16050,-0.203142,0.044926,0.004394,4.514056
16100,-0.198679,0.046362,0.004451,4.514370
16150,-0.197566,0.047244,0.004493,4.514577
16200,-0.196118,0.047592,0.004481,4.514818
16250,-0.201724,0.045527,0.004545,4.515082
16300,-0.197279,0.046826,0.004521,4.515312
16350,-0.196788,0.047409,0.004456,4.515574
16400,-0.199472,0.046116,0.004432,4.515795
16450,-0.201992,0.045791,0.004385,4.516021
16500,-0.202266,0.045626,0.004522,4.516275
16500,0.037566,-1.299469
16550,-0.200477,0.045853,0.004524,4.516400
16600,-0.196561,0.047568,0.004451,4.516569
16650,-0.198949,0.046772,0.004390,4.516853
16700,-0.195354,0.047473,0.004502,4.517068
16750,-0.194971,0.047170,0.004483,4.517119
16800,-0.201977,0.045738,0.004514,4.517335
16850,-0.203564,0.045660,0.004597,4.517606
16900,-0.200203,0.046073,0.004488,4.517925
16950,-0.199893,0.046270,0.004490,4.518187
17000,-0.199923,0.046165,0.004439,4.518367
17000,0.037558,-1.299469
17050,-0.195567,0.047307,0.004430,4.518021
17100,-0.195431,0.047032,0.004521,4.518187
17150,-0.199224,0.046247,0.004544,4.518427
17200,-0.202479,0.045323,0.004516,4.518621
17250,-0.201133,0.045772,0.004451,4.518873
17300,-0.202089,0.045959,0.004457,4.519115
17350,-0.200844,0.046613,0.004431,4.519332
17400,-0.199961,0.046113,0.004525,4.519492
17450,-0.201107,0.045513,0.004465,4.519692
17500,-0.201587,0.045898,0.004494,4.519914
17500,0.037560,-1.299469
17550,-0.196564,0.047402,0.004487,4.519988
17600,-0.201180,0.046103,0.004456,4.520201
17650,-0.200653,0.045743,0.004466,4.520485
17700,-0.199210,0.045923,0.004474,4.520670
17750,-0.201395,0.045836,0.004486,4.520769
17800,-0.201496,0.046030,0.004399,4.520931
17850,-0.197075,0.046703,0.004449,4.521144
17900,-0.204469,0.045160,0.004372,4.521390
17950,-0.199194,0.046313,0.004423,4.521630
18000,-0.199104,0.045942,0.004455,4.521814
18000,0.037566,-1.299469
18050,-0.201258,0.045762,0.004452,4.521505
18100,-0.201980,0.045694,0.004553,4.521747
18150,-0.200793,0.046288,0.004511,4.521835
18200,-0.196230,0.046856,0.004456,4.522008
18250,-0.199167,0.046620,0.004476,4.522192
18300,-0.199944,0.046210,0.004508,4.522353
18350,-0.197941,0.046564,0.004431,4.522584
18400,-0.202216,0.046048,0.004412,4.522761
18450,-0.206200,0.044303,0.004456,4.522901
18500,-0.200326,0.046245,0.004348,4.523091
18500,0.037557,-1.299469
18550,-0.195222,0.047336,0.004502,4.522867
18600,-0.199380,0.046436,0.004413,4.523071
18650,-0.204436,0.045024,0.004446,4.523191
18700,-0.197814,0.046125,0.004521,4.523359
18750,-0.199390,0.046322,0.004471,4.523540
18800,-0.197842,0.046475,0.004545,4.523664
18850,-0.197898,0.046834,0.004434,4.523854
18900,-0.202351,0.046125,0.004429,4.524049
18950,-0.197863,0.046906,0.004479,4.524197
19000,-0.201421,0.045732,0.004506,4.524299
19000,0.037574,-1.299469
19050,-0.196081,0.047225,0.004493,4.524346
19100,-0.197379,0.047092,0.004535,4.524541
19150,-0.201370,0.045496,0.004446,4.524690
19200,-0.201479,0.045903,0.004444,4.524837
19250,-0.199222,0.046289,0.004485,4.524987
19300,-0.200990,0.045964,0.004426,4.525206
19350,-0.195764,0.047833,0.004387,4.525366
19400,-0.200474,0.046223,0.004517,4.525580
19450,-0.195897,0.047567,0.004506,4.525812
19500,-0.198285,0.046353,0.004449,4.525982
19500,0.037549,-1.299469
19550,-0.197317,0.046688,0.004461,4.525686
19600,-0.196960,0.046969,0.004404,4.525713
19650,-0.198424,0.046474,0.004485,4.525859
19700,-0.199798,0.046218,0.004443,4.525987
19750,-0.201424,0.045981,0.004384,4.526146
19800,-0.195548,0.047414,0.004552,4.526273
19850,-0.197420,0.046543,0.004426,4.526447
19900,-0.202752,0.045517,0.004360,4.526610
19950,-0.198073,0.047320,0.004472,4.526828
20000,-0.194484,0.047944,0.004466,4.526989
20000,0.037590,-1.299469
20050,-0.197347,0.046932,0.004469,4.526660
20100,-0.205326,0.044438,0.004519,4.526764
20150,-0.194118,0.047521,0.004448,4.526910
20200,-0.194173,0.047917,0.004443,4.527067
20250,-0.202999,0.044959,0.004458,4.527217
20300,-0.198511,0.045851,0.004503,4.527354
20350,-0.201448,0.045878,0.004463,4.527511
20400,-0.201066,0.045940,0.004463,4.527598
20450,-0.198511,0.046592,0.004570,4.527692
20500,-0.195239,0.047162,0.004491,4.527835
20500,0.037594,-1.299469
20550,-0.198304,0.047387,0.004456,4.527924
20600,-0.198652,0.046188,0.004524,4.528076
20650,-0.197659,0.046659,0.004490,4.528234
20700,-0.196755,0.046806,0.004489,4.528347
20750,-0.200605,0.045627,0.004513,4.528439
20800,-0.196748,0.046765,0.004483,4.528590
20850,-0.197913,0.046964,0.004436,4.528747
20900,-0.197408,0.047074,0.004544,4.528859
20950,-0.197114,0.046756,0.004498,4.528982
21000,-0.202159,0.045667,0.004413,4.529018
21000,0.037580,-1.299469
21050,-0.195430,0.047381,0.004472,4.529054
21100,-0.198007,0.046598,0.004417,4.529188
21150,-0.201705,0.045603,0.004508,4.529324
21200,-0.198453,0.046619,0.004492,4.529473
21250,-0.204603,0.044908,0.004481,4.529591
