step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu,mean_mse,pred_mean_std
5000,1,0.000296,-4.530454,-1.536171,0.272257,0.033821,-1.555840,0.173541,0.098715,0.942500,0.002127,0.042980,1.000000,108.967657,19.415703,30.473616,3.205446,0.009194,0.004111
5100,1,0.000295,-7.788821,-1.535933,0.286594,0.033832,-1.555611,0.182736,0.103858,0.938945,0.002146,0.043534,1.000000,277.472557,19.399981,30.412402,3.220694,0.009205,0.004940
5200,1,0.000295,-6.577054,-1.531291,0.310848,0.034080,-1.551475,0.176669,0.134179,0.941250,0.002598,0.043874,1.000000,28.006794,19.409583,30.311488,3.267091,0.010480,0.005687
5300,1,0.000295,-7.877332,-1.532462,0.265957,0.034158,-1.552504,0.187133,0.078824,0.937187,0.002422,0.043753,1.000000,45.497365,19.418844,30.211204,3.167685,0.009877,0.004948
5400,1,0.000294,-7.939856,-1.529410,0.298107,0.034197,-1.549358,0.178800,0.119307,0.940820,0.002363,0.043655,1.000000,419.910458,19.427844,30.111421,3.225469,0.009498,0.005238
5500,1,0.000294,-7.666670,-1.540250,0.250212,0.033569,-1.559518,0.181913,0.068299,0.938789,0.003164,0.043224,1.000000,127.488001,19.436482,30.012290,3.205877,0.008278,0.005495
5600,1,0.000294,-6.972582,-1.530242,0.274700,0.033526,-1.549438,0.178980,0.095720,0.939648,0.002837,0.043158,1.000000,547.565127,19.444849,29.913663,3.099274,0.008112,0.004732
5700,1,0.000293,-7.262952,-1.531819,0.279035,0.034098,-1.551843,0.175357,0.103678,0.940391,0.002756,0.044048,1.000000,1263.615557,19.452988,29.815471,3.253034,0.009917,0.005182
5800,1,0.000293,-7.606851,-1.538743,0.265888,0.033826,-1.558720,0.187021,0.078867,0.935508,0.002882,0.043625,1.000000,409.900709,19.460720,29.717983,3.272505,0.010211,0.005458
5900,1,0.000292,-7.883354,-1.528637,0.283650,0.034243,-1.549123,0.178329,0.105321,0.942187,0.003026,0.043901,1.000000,238.915558,19.468239,29.620895,3.141656,0.011214,0.005464
6000,1,0.000292,-7.293066,-1.527956,0.271730,0.034363,-1.548093,0.194956,0.076774,0.938398,0.002650,0.043478,1.000000,419.810006,19.475670,29.524016,3.180462,0.009851,0.005209
6100,1,0.000292,-6.864388,-1.528576,0.417312,0.033998,-1.548331,0.215507,0.201805,0.930547,0.002080,0.043776,1.000000,160.085196,19.438431,29.494836,3.125455,0.009186,0.003864
6200,1,0.000291,-7.419370,-1.531227,0.249141,0.034029,-1.551314,0.192876,0.056265,0.936719,0.002362,0.044108,1.000000,493.378733,19.445880,29.397829,3.194913,0.010242,0.004213
6300,1,0.000291,-7.796822,-1.516175,0.347942,0.034300,-1.536075,0.209473,0.138469,0.931602,0.002608,0.042402,1.000000,235.625548,19.453146,29.301173,3.058778,0.009167,0.006139
