step,loss,nll,crps,mean_mse,pred_mean_std,grad_norm,mean_nu,lr,phase
11700,-9.669952,-0.802712,0.068017,0.029160,0.012378,174.688052,2.533168,0.000095,B
11750,-9.824253,-0.806619,0.067822,0.029390,0.014042,104.159272,2.618643,0.000095,B
11800,-10.063897,-0.803857,0.068800,0.031103,0.014474,63.166542,2.667886,0.000095,B
11850,-9.586516,-0.799637,0.069166,0.030895,0.013851,124.768997,2.505984,0.000095,B
11900,-9.764886,-0.817502,0.067015,0.028531,0.012700,83.993236,2.591108,0.000095,B
11950,-9.190497,-0.788898,0.069740,0.031816,0.013477,154.827336,2.622467,0.000095,B
12000,-9.266295,-0.823510,0.066997,0.028643,0.013610,85.098965,2.614961,0.000095,B
12050,-9.351170,-0.796261,0.069176,0.031476,0.013132,140.731129,2.644893,0.000095,B
12100,-9.456758,-0.811047,0.068203,0.030777,0.013307,143.566340,2.571114,0.000095,B
12150,-9.729304,-0.798432,0.068616,0.029764,0.012968,221.209696,2.515915,0.000095,B
12200,-10.078214,-0.806143,0.068742,0.030912,0.012761,88.827381,2.479556,0.000095,B
12250,-10.195662,-0.808078,0.068441,0.030889,0.010962,119.427035,2.544209,0.000094,B
12300,-10.229218,-0.813398,0.067809,0.029777,0.012152,125.018262,2.632349,0.000094,B
12350,-10.286000,-0.803386,0.068611,0.030588,0.013590,100.074159,2.610387,0.000094,B
12400,-10.230306,-0.801595,0.068810,0.030903,0.011249,221.447258,2.555468,0.000094,B
12450,-10.233331,-0.811431,0.067577,0.029101,0.013052,177.347785,2.535553,0.000094,B
12500,-9.969889,-0.809350,0.068246,0.030269,0.014606,152.976986,2.694613,0.000094,B
