step,epoch,lr,loss,ed,nll,sde_acc,vol_mse,steps/s,eta_min
59300,14,0.000085,0.586588,0.003523,-0.787440,0.423125,0.001599,86.193297,33.850273
59400,14,0.000085,0.589194,0.003549,-0.782970,0.417969,0.001556,85.849277,33.966506
59500,14,0.000085,0.587258,0.003585,-0.791908,0.423203,0.001661,85.508663,34.082317
59600,14,0.000085,0.586408,0.003573,-0.797673,0.421875,0.001725,85.173164,34.197000
59700,14,0.000085,0.588941,0.003540,-0.779148,0.420859,0.001638,84.841815,34.310912
59800,14,0.000085,0.590217,0.003565,-0.780303,0.421758,0.001973,84.515564,34.423640
59900,14,0.000085,0.586365,0.003596,-0.787915,0.428516,0.001938,84.186486,34.538402
60000,14,0.000085,0.586909,0.003571,-0.780164,0.423438,0.002045,83.860705,34.652702
60000,-0.077999,0.003095,-0.810939,0.432617,0.004451
60100,14,0.000085,0.588689,0.003588,-0.774436,0.423203,0.001715,83.474355,34.793121
60200,14,0.000085,0.589319,0.003532,-0.780030,0.422539,0.001536,83.161067,34.904154
60300,14,0.000085,0.587017,0.003587,-0.788231,0.424609,0.001591,82.849388,35.015346
60400,14,0.000085,0.585360,0.003536,-0.790460,0.425156,0.001566,82.542623,35.125287
60500,14,0.000085,0.589394,0.003559,-0.782022,0.423359,0.001561,82.238747,35.234811
60600,14,0.000085,0.587994,0.003548,-0.785844,0.422383,0.001573,81.940776,35.342599
60700,14,0.000084,0.587001,0.003566,-0.788516,0.427656,0.001711,81.643556,35.450849
60800,14,0.000084,0.587282,0.003562,-0.780600,0.424492,0.001865,81.350741,35.557964
60900,14,0.000084,0.584219,0.003530,-0.801238,0.422227,0.001955,81.057485,35.666046
61000,14,0.000084,0.590121,0.003500,-0.775837,0.420898,0.001570,80.765201,35.774483
61100,14,0.000084,0.584368,0.003573,-0.786973,0.430039,0.001509,80.470210,35.884915
61200,14,0.000084,0.585107,0.003494,-0.781899,0.424063,0.001614,80.191835,35.988701
61300,14,0.000084,0.586010,0.003520,-0.789765,0.421758,0.001665,79.917177,36.091532
61400,14,0.000084,0.585334,0.003554,-0.789610,0.422852,0.001519,79.644775,36.194046
61500,14,0.000084,0.589043,0.003559,-0.784127,0.419961,0.001841,79.376137,36.295543
61600,15,0.000084,0.586368,0.003539,-0.780091,0.426953,0.001660,79.038904,36.429318
61700,15,0.000084,0.585420,0.003554,-0.792171,0.421875,0.001708,78.775627,36.529911
61800,15,0.000084,0.586394,0.003500,-0.780266,0.423711,0.001670,78.515717,36.629609
61900,15,0.000084,0.585731,0.003575,-0.779086,0.425742,0.001601,78.258966,36.728486
62000,15,0.000084,0.588897,0.003543,-0.791088,0.421250,0.001575,77.995666,36.831106
62000,-0.076183,0.003046,-0.792295,0.425781,0.005076
62100,15,0.000084,0.585865,0.003536,-0.784633,0.421133,0.001545,77.720627,36.940000
62200,15,0.000084,0.586813,0.003555,-0.789640,0.424414,0.001608,77.470489,37.037759
62300,15,0.000084,0.584807,0.003526,-0.780131,0.425664,0.001889,77.223325,37.134721
62400,15,0.000084,0.586990,0.003524,-0.775539,0.421719,0.001576,76.978605,37.231124
62500,15,0.000084,0.588569,0.003506,-0.787601,0.420195,0.001770,76.736996,37.326629
62600,15,0.000084,0.588020,0.003570,-0.780200,0.424883,0.001567,76.496112,37.422381
