step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min
11200,2,0.000295,0.732798,-0.065042,1.595680,0.006370,-0.714120,1.484244,0.111436,0.309023,0.054302,0.103316,4.657533,2.894287,7.279303,242.651451
11300,2,0.000295,0.727374,-0.065274,1.585297,0.006422,-0.716968,1.475172,0.110126,0.318242,0.055586,0.100663,4.684584,5.891282,7.276762,242.507115
11400,2,0.000295,0.729350,-0.064896,1.588492,0.006434,-0.713300,1.477741,0.110751,0.315820,0.056567,0.100706,4.675496,3.176171,7.278033,242.235774
11500,2,0.000295,0.727089,-0.064060,1.582298,0.006409,-0.704692,1.474570,0.107728,0.319492,0.056150,0.101964,4.697166,2.207116,7.276907,242.044232
11600,2,0.000295,0.731044,-0.064203,1.590493,0.006461,-0.706633,1.477167,0.113325,0.312344,0.057053,0.101683,4.699919,1.549816,7.277368,241.799876
11700,2,0.000295,0.731712,-0.064626,1.592677,0.006562,-0.711878,1.474734,0.117943,0.307969,0.050918,0.100822,4.746653,5.048094,7.280711,241.459946
11800,3,0.000295,0.733655,-0.064359,1.596027,0.006427,-0.707855,1.481237,0.114791,0.310586,0.054431,0.101604,4.780146,1.780736,7.271163,241.547776
11900,3,0.000295,0.733534,-0.064368,1.595805,0.006540,-0.709086,1.479549,0.116256,0.308516,0.049658,0.103147,4.779529,1.161278,7.271531,241.306368
12000,3,0.000294,0.731674,-0.063977,1.591301,0.006529,-0.705054,1.475374,0.115926,0.313242,0.055630,0.101000,4.742627,2.683373,7.273130,241.024145
12000,0.004812,0.006541,0.007640,-0.065076,0.006382,-0.714584,0.069668,0.302246,0.128838,4.746098,0.046533,0.105502
12100,3,0.000294,0.731010,-0.065095,1.592210,0.006573,-0.716680,1.477078,0.115132,0.310469,0.056396,0.105681,4.685874,2.827670,7.270823,240.871399
12200,3,0.000294,0.731168,-0.064938,1.592213,0.006470,-0.714081,1.478645,0.113567,0.305547,0.057124,0.101560,4.678046,3.317333,7.274935,240.506149
12300,3,0.000294,0.727975,-0.065171,1.586292,0.006431,-0.716024,1.472674,0.113619,0.311992,0.053838,0.102210,4.731232,3.596203,7.272806,240.347404
