step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min
8500,2,0.000298,2.464375,-0.318281,1.448123,0.064180,-0.765015,1.429490,0.018633,0.353125,0.119927,0.127796,1.939997,19.216799,4.375567,413.965374
8600,2,0.000298,2.466094,-0.309199,1.461829,0.064365,-0.747339,1.442015,0.019814,0.348125,0.131030,0.131289,1.957411,35.454207,4.375775,413.564876
8700,2,0.000298,2.570312,-0.322578,1.461407,0.064148,-0.773795,1.440093,0.021314,0.350938,0.125508,0.124352,1.929395,79.770906,4.376294,413.134937
8800,2,0.000297,2.664687,-0.315742,1.456833,0.064224,-0.759855,1.437449,0.019384,0.351602,0.115898,0.127655,1.926959,33.248588,4.376346,412.749216
8900,2,0.000297,2.510937,-0.314629,1.459490,0.064336,-0.757622,1.441439,0.018051,0.348203,0.129043,0.125612,1.915860,35.161763,4.376810,412.324668
9000,2,0.000297,2.561406,-0.309023,1.475676,0.064370,-0.746999,1.451641,0.024035,0.338164,0.115166,0.134050,1.923411,42.818405,4.376749,411.949572
9100,2,0.000297,2.489844,-0.308926,1.468524,0.064292,-0.746800,1.447154,0.021370,0.349766,0.120195,0.130412,1.864556,53.690650,4.376874,411.557014
9200,2,0.000297,2.438594,-0.318281,1.461040,0.064319,-0.765294,1.443127,0.017912,0.350352,0.125513,0.125962,1.849549,73.175611,4.376954,411.168783
9300,2,0.000297,2.339844,-0.311270,1.451016,0.064062,-0.750875,1.433616,0.017400,0.349102,0.134907,0.125203,1.889039,27.605476,4.377183,410.766486
9400,2,0.000297,2.323594,-0.314980,1.457898,0.064290,-0.758628,1.436669,0.021229,0.350391,0.126138,0.129870,1.989794,51.559415,4.376953,410.407281
9500,2,0.000297,2.334375,-0.321387,1.453631,0.064204,-0.771014,1.437029,0.016602,0.354805,0.109707,0.128074,1.988058,18.949078,4.377163,410.006833
9600,2,0.000297,2.278906,-0.318496,1.448722,0.064253,-0.765518,1.432098,0.016624,0.353867,0.106436,0.131466,2.063547,48.020997,4.376918,409.648987
