step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu
4600,1,0.000300,0.240622,-0.054512,1.967560,0.007593,-0.679477,1.844427,0.123133,0.223047,0.062444,0.087780,2.938224,0.198648,4.869169,385.349803,14.156926
4700,1,0.000300,0.241960,-0.054781,1.978267,0.007324,-0.679611,1.854053,0.124214,0.220156,0.065322,0.085754,2.954506,0.483686,4.876221,384.450732,15.388972
4800,1,0.000300,0.241837,-0.054728,1.977103,0.007481,-0.680751,1.852523,0.124581,0.221445,0.066919,0.086800,3.003434,0.333958,4.885221,383.401274,15.229386
4900,1,0.000300,0.240294,-0.054850,1.967623,0.007339,-0.680818,1.844025,0.123598,0.222461,0.058479,0.088580,3.047181,0.223187,4.896024,382.214868,16.200928
5000,1,0.000300,0.241937,-0.054530,1.976446,0.007475,-0.678963,1.850599,0.125847,0.218438,0.055483,0.089711,3.153065,0.241704,4.905105,381.167536,16.925643
5100,1,0.000299,0.239244,-0.055809,1.967022,0.007521,-0.690735,1.844543,0.122479,0.223555,0.060222,0.087412,3.223674,0.189611,4.913370,380.187140,16.764910
5200,1,0.000299,0.241921,-0.054108,1.973527,0.007673,-0.676496,1.850801,0.122726,0.218125,0.054976,0.086535,3.261775,0.175524,4.920501,379.297393,16.998465
5300,1,0.000299,0.242073,-0.054317,1.975933,0.007683,-0.678378,1.853457,0.122476,0.212734,0.056101,0.087864,3.288445,0.188629,4.928233,378.364166,17.863750
5400,1,0.000299,0.242604,-0.053769,1.975821,0.007741,-0.674089,1.852556,0.123265,0.220430,0.051260,0.087760,3.437608,0.167741,4.936468,377.395353,17.896455
5500,1,0.000299,0.242395,-0.053129,1.970160,0.007746,-0.667655,1.847017,0.123143,0.222344,0.060806,0.085160,3.526512,0.177202,4.945777,376.347984,19.443849
5600,1,0.000299,0.242912,-0.053124,1.973577,0.007784,-0.667696,1.851375,0.122202,0.222656,0.046277,0.086677,3.660607,0.212339,4.951314,375.590502,20.567607
5700,1,0.000299,0.242385,-0.053512,1.972648,0.007756,-0.671765,1.849875,0.122773,0.221133,0.044124,0.083636,3.649157,0.261920,4.956929,374.828831,21.731155
5800,1,0.000299,0.241427,-0.053893,1.968794,0.007764,-0.675359,1.846745,0.122049,0.221641,0.042749,0.082943,3.603924,0.229506,4.962721,374.055520,22.006022
5900,1,0.000299,0.243710,-0.052142,1.972351,0.008119,-0.661956,1.847090,0.125261,0.225156,0.042596,0.078121,3.371274,0.344057,4.969356,373.220732,21.917705
6000,1,0.000299,0.242427,-0.052143,1.963794,0.008072,-0.661564,1.849207,0.114587,0.223594,0.037003,0.075347,2.943891,0.350992,4.974367,372.509674,21.779330
