step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min
6000,0.002320,0.003452,0.004223,-0.390484,0.003269,-0.787504,0.067000,0.356934,0.006261,1.568061,0.122421,0.134810
6100,1,0.000299,0.379941,-0.317637,1.395486,0.064009,-0.763190,1.387925,0.007561,0.379063,0.126709,0.132030,1.628395,1.560892,4.585215,403.761515
6200,1,0.000299,0.377422,-0.322148,1.399508,0.064143,-0.772994,1.391317,0.008191,0.378789,0.135664,0.131152,1.621282,1.820349,4.585810,403.345644
6300,1,0.000299,0.379805,-0.319844,1.399587,0.064165,-0.767879,1.392550,0.007037,0.376875,0.132119,0.131873,1.649762,1.630185,4.586371,402.932974
6400,1,0.000299,0.376680,-0.319570,1.392520,0.064060,-0.767289,1.384770,0.007750,0.382344,0.141895,0.127658,1.592971,1.789057,4.586874,402.525422
6500,1,0.000299,0.373613,-0.323926,1.394969,0.064106,-0.776227,1.386591,0.008378,0.378281,0.141494,0.124136,1.566454,1.761223,4.587380,402.117682
6600,1,0.000299,0.377832,-0.318760,1.393198,0.063916,-0.765495,1.386962,0.006236,0.381484,0.142739,0.128123,1.623057,1.572080,4.587510,401.743021
6700,1,0.000299,0.370684,-0.323496,1.388227,0.064019,-0.774948,1.381172,0.007055,0.387500,0.132070,0.125458,1.676606,1.730909,4.588014,401.335553
6800,1,0.000299,0.375664,-0.316875,1.385154,0.064102,-0.762084,1.378373,0.006781,0.388125,0.135083,0.128279,1.687529,1.651458,4.588043,400.969836
6900,1,0.000299,0.375703,-0.319453,1.390325,0.064224,-0.767524,1.384144,0.006181,0.378867,0.137441,0.126064,1.677228,1.440933,4.588447,400.571266
7000,1,0.000299,0.372227,-0.321631,1.387777,0.064126,-0.771376,1.381450,0.006327,0.381563,0.141748,0.126384,1.674561,1.530971,4.588593,400.195292
7100,1,0.000299,0.378047,-0.319922,1.396201,0.064033,-0.768031,1.388906,0.007295,0.380859,0.138457,0.128691,1.636117,1.588114,4.589051,399.792149
7200,1,0.000298,0.369570,-0.325156,1.388920,0.063965,-0.778349,1.382651,0.006269,0.383125,0.126973,0.129321,1.735551,1.608782,4.589460,399.393391
