step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min
8000,0.003206,0.003874,0.004845,-0.372695,0.004018,-0.753424,0.068661,0.342285,0.012736,3.577772,0.065235,0.131912
8100,2,0.000298,2.597500,-0.309756,1.447673,0.064373,-0.748333,1.432547,0.015127,0.355117,0.075913,0.129016,3.591439,40.438388,4.598019,395.387693
8200,2,0.000298,2.556250,-0.316680,1.449752,0.064199,-0.761619,1.431490,0.018263,0.355273,0.071277,0.131511,3.570920,40.676345,4.598139,395.014913
8300,2,0.000298,2.575781,-0.317539,1.446146,0.064053,-0.763120,1.430311,0.015835,0.354063,0.065649,0.135086,3.541567,25.823894,4.598587,394.613997
8400,2,0.000298,2.629219,-0.314395,1.438380,0.064224,-0.757509,1.422380,0.016000,0.355352,0.075347,0.131096,3.594270,55.741515,4.599063,394.210759
8500,2,0.000298,2.585781,-0.318164,1.443908,0.064199,-0.764682,1.427819,0.016089,0.351289,0.070071,0.130784,3.561799,40.216891,4.599535,393.807935
8600,2,0.000298,2.511719,-0.310625,1.445512,0.064370,-0.750003,1.429349,0.016163,0.351680,0.075610,0.133437,3.605968,34.784555,4.599657,393.435173
8700,2,0.000298,2.501875,-0.308750,1.449571,0.064209,-0.745959,1.433773,0.015798,0.350195,0.074421,0.128514,3.598616,20.888525,4.600092,393.035601
8800,2,0.000297,2.492500,-0.313281,1.446699,0.064224,-0.755078,1.430438,0.016261,0.353672,0.077803,0.128989,3.606175,45.291883,4.600494,392.638960
8900,2,0.000297,2.522969,-0.310869,1.449724,0.064331,-0.750171,1.434486,0.015238,0.347070,0.074893,0.133157,3.642160,16.897388,4.600615,392.266374
9000,2,0.000297,2.570781,-0.311621,1.452572,0.064287,-0.751899,1.435475,0.017097,0.349336,0.070720,0.136417,3.621786,47.528973,4.600713,391.895794
9100,2,0.000297,2.491406,-0.311963,1.455883,0.064424,-0.752901,1.436869,0.019014,0.347500,0.073169,0.128250,3.574889,55.785080,4.600959,391.512599
9200,2,0.000297,2.672813,-0.311914,1.464153,0.064736,-0.753136,1.444519,0.019634,0.352148,0.069646,0.130974,3.621065,9591.979521,4.601141,391.134899
9300,2,0.000297,2.567969,-0.316309,1.467239,0.064224,-0.761262,1.446235,0.021004,0.345703,0.069082,0.130076,3.595569,175.431288,4.601357,390.754296
9400,2,0.000297,2.487344,-0.317490,1.459239,0.064282,-0.763651,1.439462,0.019777,0.354687,0.065374,0.133841,3.625513,24.323810,4.601595,390.371901
9500,2,0.000297,2.473125,-0.308330,1.460036,0.064263,-0.745042,1.442384,0.017653,0.350234,0.074790,0.134098,3.642984,69.796965,4.601549,390.013583
9600,2,0.000297,2.507969,-0.311836,1.450681,0.064175,-0.752033,1.432197,0.018484,0.356250,0.068486,0.131385,3.602537,23.782017,4.601808,389.629427
9700,2,0.000297,2.560469,-0.314248,1.443305,0.064182,-0.756814,1.427600,0.015705,0.358008,0.071311,0.129410,3.642157,49.967024,4.601856,389.263266
9800,2,0.000297,2.742188,-0.315879,1.443662,0.064233,-0.760283,1.429518,0.014145,0.357148,0.063740,0.127547,3.666418,35.280125,4.601958,388.892468
9900,2,0.000297,2.416250,-0.311201,1.442001,0.064082,-0.750975,1.427464,0.014537,0.356367,0.068618,0.126718,3.699310,91.268242,4.602103,388.518009
10000,2,0.000296,2.432969,-0.320059,1.439688,0.064075,-0.768114,1.426451,0.013237,0.358906,0.066143,0.128652,3.716500,25.981402,4.602511,388.121455
10000,0.002822,0.003922,0.004978,-0.368775,0.003887,-0.745325,0.066863,0.345215,0.013915,3.682353,0.056953,0.128033
10100,2,0.000296,2.367031,-0.309375,1.441240,0.064258,-0.747561,1.425983,0.015258,0.361836,0.067871,0.130644,3.723357,43.389414,4.601389,387.853882
10200,2,0.000296,2.388281,-0.314941,1.452292,0.064219,-0.758278,1.433673,0.018619,0.350938,0.065757,0.125902,3.721793,73.338788,4.601829,387.454676
10300,2,0.000296,2.348906,-0.318457,1.455876,0.064138,-0.765228,1.438609,0.017267,0.351445,0.064468,0.127715,3.719987,65.275825,4.602313,387.051765
10400,2,0.000296,2.364063,-0.314336,1.462831,0.064229,-0.757006,1.442728,0.020104,0.344453,0.069285,0.130242,3.737551,75.454222,4.602812,386.647665
10500,2,0.000296,2.320156,-0.313379,1.462437,0.064160,-0.755060,1.439093,0.023344,0.349648,0.066003,0.127508,3.771860,48.799416,4.603313,386.243537
10600,2,0.000296,2.297188,-0.308672,1.458284,0.064199,-0.746038,1.435647,0.022637,0.352187,0.071953,0.127673,3.713133,35.313786,4.603584,385.858769
10700,2,0.000296,2.363906,-0.316943,1.448766,0.064128,-0.762166,1.431460,0.017306,0.356406,0.071550,0.128509,3.701102,36.031942,4.604092,385.454237
10800,2,0.000296,2.265625,-0.312451,1.455741,0.064189,-0.753214,1.438424,0.017317,0.351016,0.073623,0.126317,3.717762,29.486582,4.604371,385.068880
10900,2,0.000296,2.277969,-0.315039,1.446719,0.064229,-0.758822,1.428003,0.018716,0.352969,0.073193,0.127574,3.723264,36.748112,4.604884,384.664030
11000,2,0.000296,2.206406,-0.317119,1.457821,0.064141,-0.762540,1.440826,0.016995,0.350430,0.071743,0.129999,3.773916,37.835265,4.605218,384.274232
11100,2,0.000295,2.198906,-0.320342,1.450627,0.064077,-0.768988,1.434187,0.016441,0.354297,0.072693,0.123693,3.764173,59.847423,4.605768,383.866529
11200,2,0.000295,2.349063,-0.314102,1.462513,0.064175,-0.756688,1.442611,0.019902,0.344414,0.071201,0.127571,3.716509,43.216848,4.606206,383.468196
11300,2,0.000295,2.377031,-0.312930,1.450472,0.064307,-0.754655,1.432297,0.018175,0.351875,0.071116,0.124345,3.759253,22.805834,4.606637,383.070450
11400,2,0.000295,2.249375,-0.311699,1.452011,0.064102,-0.751662,1.433517,0.018495,0.353906,0.068911,0.125679,3.725362,54.523497,4.606843,382.691563
11500,2,0.000295,2.708281,-0.319443,1.443240,0.064377,-0.767547,1.427919,0.015321,0.354648,0.069497,0.121886,3.727665,14.857743,4.607260,382.295230
11600,2,0.000295,2.845781,-0.316816,1.439155,0.064277,-0.762275,1.423615,0.015539,0.356406,0.065176,0.128498,3.768873,40.214564,4.607485,381.914822
11700,2,0.000295,2.674531,-0.318896,1.439230,0.064062,-0.765999,1.424067,0.015163,0.353516,0.074319,0.127407,3.779843,64.162319,4.607906,381.518195
11800,3,0.000295,2.712969,-0.318008,1.443214,0.064241,-0.764389,1.428377,0.014837,0.353789,0.067603,0.128330,3.736560,27.445202,4.606741,381.252853
11900,3,0.000295,2.134375,-0.316572,1.443205,0.064224,-0.761372,1.428857,0.014348,0.352539,0.070139,0.127944,3.765735,32.422166,4.607141,380.858054
12000,3,0.000294,2.136484,-0.312930,1.445318,0.064275,-0.754489,1.428965,0.016353,0.351133,0.071868,0.128479,3.751914,31.961876,4.607370,380.477382
12000,0.002942,0.003715,0.004511,-0.381694,0.003769,-0.770926,0.065566,0.331543,0.017215,3.794879,0.077415,0.125957
12100,3,0.000294,2.290469,-0.309971,1.452593,0.064380,-0.748967,1.433078,0.019515,0.352461,0.072542,0.126147,3.734470,1040.803931,4.606763,380.165725
12200,3,0.000294,2.165078,-0.322988,1.456957,0.064290,-0.774401,1.437613,0.019344,0.347344,0.070200,0.129090,3.711862,9115.740264,4.606993,379.784947
