step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu
7900,2,0.000298,0.769292,-0.070535,1.679653,0.004412,-0.749462,1.675779,0.003874,0.318516,0.048564,0.141139,3.098320,0.990696,11.265868,161.668265,60.713441
8000,2,0.000298,0.775269,-0.069708,1.689953,0.004418,-0.741252,1.685414,0.004540,0.308320,0.048936,0.141827,3.125481,1.013822,11.271062,161.445895,60.635248
8000,0.003788,0.003750,0.004616,-0.071980,0.003999,-0.759790,0.068491,0.309082,0.004287,3.121350,0.053175,0.149457,61.005839
8100,2,0.000298,0.767485,-0.071364,1.677698,0.004370,-0.757342,1.673498,0.004200,0.319492,0.044990,0.140206,3.129145,1.016101,11.270671,161.303613,60.645298
8200,2,0.000298,0.771332,-0.069563,1.681791,0.004422,-0.739855,1.677663,0.004128,0.319023,0.039390,0.139688,3.128338,0.963972,11.269764,161.168706,60.709545
8300,2,0.000298,0.771148,-0.069974,1.682246,0.004432,-0.744061,1.678274,0.003972,0.316328,0.033784,0.145162,3.120320,0.962441,11.275596,160.937535,60.795798
8400,2,0.000298,0.770277,-0.069278,1.679109,0.004429,-0.737066,1.674708,0.004401,0.320547,0.037441,0.142260,3.114716,0.991439,11.277420,160.763725,60.865232
8500,2,0.000298,0.771073,-0.069411,1.680968,0.004381,-0.737917,1.676477,0.004491,0.316563,0.043298,0.143064,3.105193,0.997109,11.281063,160.564066,60.867503
8600,2,0.000298,0.771069,-0.070317,1.682771,0.004392,-0.747090,1.678784,0.003986,0.316094,0.039207,0.140464,3.084293,0.941461,11.287429,160.325853,60.938320
8700,2,0.000298,0.771866,-0.070016,1.683763,0.004465,-0.744806,1.679847,0.003916,0.312812,0.040968,0.142425,3.120645,0.956087,11.286772,160.187519,60.897326
8800,2,0.000297,0.767574,-0.070783,1.676715,0.004363,-0.751469,1.672516,0.004199,0.320703,0.044421,0.138504,3.070771,0.957344,11.290858,159.981936,60.942022
8900,2,0.000297,0.771358,-0.069531,1.681780,0.004430,-0.739617,1.677699,0.004080,0.318828,0.043662,0.141261,3.082331,0.988171,11.289277,159.856707,61.104276
9000,2,0.000297,0.764414,-0.070315,1.669457,0.004375,-0.746900,1.665835,0.003622,0.325547,0.040574,0.141514,3.116052,0.952942,11.292162,159.668272,61.139383
9100,2,0.000297,0.767977,-0.070578,1.677108,0.004401,-0.749790,1.673193,0.003916,0.315078,0.042046,0.141049,3.118465,0.926801,11.294892,159.482126,61.251080
9200,2,0.000297,0.770675,-0.069919,1.681189,0.004460,-0.743794,1.677168,0.004021,0.315703,0.045735,0.141920,3.136075,0.970983,11.292455,159.368949,61.379146
9300,2,0.000297,0.770689,-0.069596,1.680569,0.004409,-0.740051,1.676418,0.004150,0.318984,0.039470,0.148275,3.128216,0.983709,11.293888,159.201160,61.406835
9400,2,0.000297,0.766542,-0.069632,1.672348,0.004416,-0.740474,1.668465,0.003882,0.323789,0.036545,0.144912,3.143458,0.954582,11.295996,159.023894,61.397027
9500,2,0.000297,0.770413,-0.070205,1.681236,0.004345,-0.745500,1.677743,0.003493,0.315430,0.034497,0.143936,3.139467,0.912607,11.305671,158.740390,61.516601
9600,2,0.000297,0.766044,-0.070084,1.672255,0.004400,-0.744838,1.668160,0.004095,0.321406,0.037736,0.142073,3.147155,0.915462,11.309266,158.542564,61.685655
9700,2,0.000297,0.767073,-0.071112,1.676369,0.004353,-0.754651,1.672187,0.004182,0.313633,0.043601,0.146224,3.123530,0.938388,11.308861,158.400868,61.807678
9800,2,0.000297,0.764816,-0.069975,1.669581,0.004327,-0.743018,1.665806,0.003775,0.324102,0.040911,0.143454,3.114086,0.923837,11.313508,158.188489,61.868510
9900,2,0.000297,0.768277,-0.070703,1.677960,0.004329,-0.750320,1.674310,0.003650,0.322344,0.044850,0.139956,3.154452,0.911842,11.314281,158.030370,61.979360
10000,2,0.000296,0.763057,-0.070692,1.667500,0.004308,-0.750007,1.663926,0.003573,0.324688,0.049407,0.136616,3.140504,0.925883,11.317539,157.837617,62.090562
10000,0.003300,0.003725,0.004440,-0.071844,0.003845,-0.756889,0.069248,0.318848,0.002432,3.175579,0.035728,0.161280,62.070675
10100,2,0.000296,0.766325,-0.069893,1.672436,0.004416,-0.743098,1.668721,0.003715,0.318477,0.046938,0.147423,3.167859,0.950008,11.315002,157.725709,62.072395
