step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu
9000,1,0.000290,-2.467442,-1.945844,0.308920,0.024413,-1.958051,0.194082,0.045671,0.931875,0.002340,0.031102,1.000000,41.146254,23.395820,37.029406,3.286490
9100,1,0.000289,-2.475817,-1.923918,0.325346,0.025388,-1.936612,0.206443,0.049689,0.926758,0.002355,0.031932,1.000000,55.923061,23.399188,36.952849,3.367116
9200,1,0.000289,-2.462984,-1.914227,0.332614,0.025197,-1.926825,0.210717,0.052629,0.926250,0.002198,0.031020,1.000000,57.884782,23.400208,36.880014,3.344733
9300,1,0.000289,-2.515318,-1.919162,0.332684,0.025020,-1.931672,0.215717,0.047726,0.924570,0.002711,0.030016,1.000000,68.585304,23.400162,36.808863,3.435218
9400,1,0.000289,-2.548770,-1.945329,0.308828,0.024598,-1.957628,0.195766,0.043809,0.931914,0.002204,0.031260,1.000000,50.971445,23.405322,36.729539,3.367403
9500,1,0.000288,-2.481937,-1.932545,0.299983,0.025003,-1.945046,0.199230,0.031318,0.931133,0.002595,0.030443,1.000000,69.636980,23.408983,36.652596,3.112384
9600,1,0.000288,-2.546741,-1.932837,0.312360,0.025065,-1.945370,0.192703,0.050481,0.931953,0.002951,0.031626,1.000000,48.262163,23.411921,36.576808,3.306484
9700,1,0.000288,-2.523663,-1.935348,0.305859,0.025201,-1.947949,0.188451,0.048241,0.934453,0.002587,0.030637,1.000000,47.391540,23.415382,36.500223,3.158785
9800,1,0.000287,-2.549130,-1.940882,0.308361,0.024963,-1.953364,0.192711,0.046453,0.933047,0.002467,0.031229,1.000000,61.836734,23.418893,36.423583,3.263959
9900,1,0.000287,-2.600710,-1.933875,0.288473,0.025277,-1.946513,0.183849,0.035378,0.936133,0.002565,0.031220,1.000000,42.890777,23.423687,36.344975,3.353817
10000,1,0.000287,-2.642151,-1.944113,0.289993,0.024724,-1.956475,0.188926,0.031828,0.936523,0.002373,0.031935,1.000000,46.157769,23.427109,36.268523,3.466565
10000,-1.742233,-1.757600,0.030734,0.013931,0.971680,0.534668,1.000000,0.002669,0.044534,2.637419
