step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu,mean_mse,pred_mean_std
2500,5,0.000300,-9.636966,-0.710032,0.570678,0.071476,-0.757969,0.000083,0.570595,1.000000,0.015745,0.078152,1.000000,63.284697,11.120892,29.823747,2.309920,0.040666,0.009939
2550,5,0.000299,-9.572975,-0.712120,0.660510,0.071201,-0.759252,0.000054,0.660456,1.000000,0.017343,0.079402,1.000000,81.084861,11.126345,29.734233,2.334411,0.038441,0.009354
2600,5,0.000299,-9.462897,-0.715614,0.522277,0.070585,-0.760981,0.000043,0.522234,1.000000,0.016417,0.077793,1.000000,70.892403,11.131506,29.645584,2.354556,0.033580,0.009428
2650,5,0.000299,-8.608228,-0.714590,0.249998,0.071562,-0.763884,0.000029,0.249969,1.000000,0.015626,0.076975,1.000000,184.862717,11.136547,29.557335,2.309671,0.045042,0.009135
2700,6,0.000299,-8.327293,-0.704119,0.423193,0.071838,-0.753184,0.000026,0.423167,1.000000,0.015647,0.077709,1.000000,57.641606,11.128412,29.504059,2.297709,0.043819,0.008329
2750,6,0.000299,-8.281462,-0.724775,0.627106,0.070416,-0.771683,0.000028,0.627078,1.000000,0.016038,0.077944,1.000000,50.192041,11.133423,29.415932,2.336057,0.039000,0.009724
2800,6,0.000299,-6.838929,-0.712846,0.486937,0.071259,-0.760209,0.000014,0.486923,1.000000,0.016801,0.077449,1.000000,28.846809,11.138252,29.328360,2.269938,0.039111,0.010413
2850,6,0.000299,-9.295649,-0.705253,0.413655,0.072518,-0.756465,0.000013,0.413642,1.000000,0.015889,0.078547,1.000000,115.155468,11.142190,29.243203,2.345719,0.049844,0.009459
2900,6,0.000299,-7.547479,-0.722220,0.512849,0.070682,-0.768973,0.000011,0.512838,1.000000,0.017377,0.077749,1.000000,31.607332,11.145907,29.158685,2.353488,0.038039,0.009493
2950,6,0.000298,-8.520926,-0.712440,0.387929,0.070968,-0.759798,0.000009,0.387921,1.000000,0.016571,0.078440,1.000000,70.809535,11.150075,29.073049,2.345203,0.039583,0.008113
3000,6,0.000298,-7.529201,-0.712187,0.604663,0.071669,-0.761284,0.000011,0.604652,1.000000,0.015623,0.077710,1.000000,32.143610,11.154004,28.988097,2.292522,0.044207,0.008715
3050,6,0.000298,-9.391121,-0.715536,0.450322,0.071533,-0.763882,0.000007,0.450315,1.000000,0.016577,0.077687,1.000000,89.045173,11.142018,28.944488,2.311985,0.041932,0.009826
3100,6,0.000298,-9.854293,-0.707002,0.334629,0.072721,-0.759106,0.000004,0.334625,1.000000,0.016477,0.078421,1.000000,49.427064,11.146123,28.859064,2.299070,0.052477,0.009668
3150,7,0.000298,-8.638200,-0.719975,0.469265,0.070649,-0.765845,0.000005,0.469260,1.000000,0.016919,0.078061,1.000000,40.999153,11.136691,28.808677,2.323915,0.035152,0.009001
3200,7,0.000297,-9.111515,-0.709243,0.575849,0.072068,-0.758629,0.000003,0.575847,1.000000,0.014838,0.078053,1.000000,93.477870,11.140871,28.723068,2.278357,0.044506,0.008379
3250,7,0.000297,-9.922285,-0.715899,0.413244,0.070537,-0.761957,0.000003,0.413241,1.000000,0.015256,0.077901,1.000000,72.916781,11.144749,28.638301,2.338074,0.035965,0.008969
3300,7,0.000297,-9.898873,-0.720324,0.521976,0.071082,-0.768389,0.000005,0.521971,1.000000,0.017709,0.077963,1.000000,53.232220,11.148542,28.553809,2.360293,0.041746,0.009282
